"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"186",2009,9,263,18,263,18,49,51,0.285714285714286,0.0408163265306122,0.244897959183673,0.0196078431372549
"543",2009,3,263,18,263,18,39,39,0.256410256410256,0.0512820512820513,0.0512820512820513,0
"202",2009,4,263,17,263,18,39,39,0.230769230769231,0.0256410256410256,0.153846153846154,0.0256410256410256
"577",2009,5,263,18,263,18,13,13,0.307692307692308,0,0.153846153846154,0
"109",2009,10,263,17,263,18,63,64,0.238095238095238,0.0317460317460317,0.333333333333333,0
"857",2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"049",2009,8,263,18,263,18,315,321,0.33015873015873,0.0285714285714286,0.273015873015873,0.0124610591900312
"625",2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2009,1,263,18,263,18,10,10,0.1,0,0.2,0
"678",2009,10,263,18,263,18,14,14,0.142857142857143,0.0714285714285714,0.0714285714285714,0
"211",2009,9,263,18,263,18,43,42,0.302325581395349,0.0697674418604651,0.186046511627907,0
"106",2009,10,263,18,263,18,36,37,0.25,0.0277777777777778,0.222222222222222,0
"069",2009,7,263,18,263,18,7,7,0.142857142857143,0,0.285714285714286,0
"297",2009,12,263,18,263,18,65,66,0.215384615384615,0.0307692307692308,0.215384615384615,0
"532",2009,7,263,13,263,18,17,18,0.294117647058824,0,0.352941176470588,0
"698",2009,3,263,18,263,18,65,66,0.138461538461538,0.0307692307692308,0.307692307692308,0
"257",2009,1,251,18,251,18,49,47,0.285714285714286,0.0204081632653061,0.204081632653061,0
"580",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2009,3,263,18,263,18,44,45,0.25,0.0227272727272727,0.272727272727273,0
"109",2009,9,263,17,263,18,56,61,0.178571428571429,0.0357142857142857,0.285714285714286,0
"400",2009,3,263,12,263,18,13,11,0,0,0.384615384615385,0
"286",2009,12,263,18,263,18,53,54,0.150943396226415,0,0.264150943396226,0
"886",2009,5,263,18,263,18,20,20,0.25,0.05,0.1,0
